Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
Bet on It,Jodie Slaughter,,9781250821836,digital,read,2025/06/08,2025/08/23,2025/08/11-2025/08/23,1.0,,,,,,,,3.0,,,,,No,2
A Guide to Being Just Friends,Sophie Sullivan,,9781250624208,paperback,to-read,2023/06/14,,,0.0,,,,,,,,,,,,,No,2
Sarah's Key,Tatiana de Rosnay,,9780312370831,hardcover,to-read,2015/02/12,,,0.0,,,,,,,,,,,,,No,2
The American Roommate Experiment,Elena Armas,,9781668002773,paperback,read,2022/09/04,2023/06/13,2023/06/13,1.0,,,,,,,,5.0,,,,,No,2
Station Eleven,Emily St. John Mandel,,9781443434867,paperback,read,2020/06/14,2020/06/17,2020/06/17,1.0,,,,,,,,5.0,,,,"library, e-books, 2020-popsugar-challenge",No,2
"Hook, Line, and Sinker",Tessa Bailey,,9780063045705,digital,read,2022/05/05,2026/01/17,2026/01/08-2026/01/17,1.0,,,,,,,,3.0,,,,,No,2
The Hating Game,Sally Thorne,,B01DT7MSLO,digital,to-read,2023/01/20,,,0.0,,,,,,,,,,,,,No,2
Hell Bent,Leigh Bardugo,,9781250313119,digital,read,2024/10/29,2024/11/14,2024/10/27-2024/11/14,1.0,"dark, emotional, funny, tense",,,,,,,4.25,,,,,No,2
The Hero of Ages,Brandon Sanderson,,9780765316899,hardcover,read,2023/10/17,2023/12/29,2023/12/29,1.0,,,,,,,,5.0,,,,,No,2
The Twisted Ones,T. Kingfisher,,9781534429574,hardcover,to-read,2022/09/19,,,0.0,,,,,,,,,,,,,No,2
Royal Valentine,Sariah Wilson,,B0CL7L3H7B,digital,read,2024/02/05,2024/02/05,2024/02/05-2024/02/05,1.0,lighthearted,fast,,,,,,3.5,,,,,No,2
Less,Andrew Sean Greer,,9780316316125,hardcover,to-read,2019/11/18,,,0.0,,,,,,,,,,,,,No,2
