Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
The Way of Kings,Brandon Sanderson,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781427220264,audio,read,2024/02/27,2024/05/23,2024/02/27-2024/05/23,1.0,,slow,,,,,,3.5,,,,,Yes,2
The Will of the Many,James Islington,Euan Morton (Narrator),B0BXTL5Y9C,audio,read,2025/03/29,2025/04/16,2025/03/29-2025/04/16,1.0,,,,,,,,5.0,,,,,No,2
A Game of Thrones,George R.R. Martin,,9780553588484,paperback,to-read,2011/07/31,,,0.0,,,,,,,,4.0,,,,,Yes,2
Metal Slinger,Rachel Schneider,,9798324986469,paperback,to-read,2025/02/01,,,0.0,,,,,,,,,,,,,No,2
Blood of Elves,Andrzej Sapkowski,Danusia Stok (Translator),9780316029193,paperback,to-read,2020/01/02,,,0.0,,,,,,,,,,,,,No,2
The Hunger Games,Suzanne Collins,,9780439023481,hardcover,read,2012/03/04,2012/03/20,2012/03/20,1.0,,,,,,,,5.0,,,,,No,2
Mockingjay,Suzanne Collins,,9780439023511,hardcover,read,2012/03/25,2012/03/28,2012/03/28,1.0,,,,,,,,4.0,,,,,No,2
Parable of the Sower,Octavia E. Butler,,9780446675505,paperback,to-read,2022/05/13,,,0.0,,,,,,,,,,,,,No,2
The Clackity,Lora Senf,Alfredo Cáceres (Illustrator),9781665902670,hardcover,to-read,2022/05/05,,,0.0,,,,,,,,,,,,,No,2
The Jasad Heir,Sara Hashem,,9780316477864,paperback,to-read,2023/08/22,,,0.0,,,,,,,,,,,,,No,2
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Jennifer Kim (Narrator), Julian Cihi (Narrator)",9781529193626,audio,read,2022/09/11,2023/01/12,2023/01/12,1.0,,,,,,,,4.0,,,,,No,2
The Wisteria Society of Lady Scoundrels,India Holton,,9781405954938,paperback,to-read,2023/04/23,,,0.0,,,,,,,,,,,,,No,2
The Wife Between Us,"Greer Hendricks, Sarah Pekkanen",,9781250130921,hardcover,read,2019/03/18,2019/12/27,2019/12/27,1.0,,,,,,,,4.0,"I could not put this book down during the first part, and then it definitely started to slow down. I was so drawn in and just wanted to know everything! It definitely picked up towards the end, but the twists became more predictable. Honestly, the epilogue was also just a little too much. The book would have ended just fine without it.",,,2019-popsugar-challenge,No,2
"Really Good, Actually",Monica Heisey,Julia Whelan (Narrator),9780063235441,audio,read,2022/12/31,,,1.0,,,,,,,,,,,,dnf,No,2
Shadow of Night,Deborah Harkness,,9780143123620,paperback,read,2019/01/31,2023/04/16,2023/04/16,1.0,,,,,,,,4.0,,,,,No,2
The People We Keep,Allison Larkin,,9781982171292,hardcover,to-read,2023/07/15,,,0.0,,,,,,,,,,,,,No,2
"He Who Fights with Monsters, Book 1",Shirtaloon,"Heath Miller (Narrator), Travis Deverell",B08V3XQ7LK,audio,did-not-finish,2025/09/21,,,0.0,,,,,,,,,,,,,No,2
The Poppy War,R.F. Kuang,,9780062662590,digital,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
The Nightingale,Kristin Hannah,,0312577222,hardcover,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
Hollow City,Ransom Riggs,,9781594746123,hardcover,to-read,2014/03/13,,,0.0,,,,,,,,,,,,2014,No,2
The Paris Apartment,Lucy Foley,,9780063003057,hardcover,to-read,2023/07/15,,,0.0,,,,,,,,,,,,,No,2
The Guest List,Lucy Foley,,9780008297176,paperback,to-read,2022/12/27,,,0.0,,,,,,,,,,,,,No,2
Verity,Colleen Hoover,,9781408726617,digital,read,2022/05/04,2022/05/06,2022/05/06,1.0,,,,,,,,5.0,,,,,No,2
Happy Place,Emily Henry,,9780593441275,hardcover,read,2022/12/31,2023/06/05,2023/06/05,1.0,,,,,,,,5.0,,,,,No,2
Masters of Death,"Olivie Blake, Olivie Blake",,,,to-read,2023/08/15,,,0.0,,,,,,,,,,,,,No,2
Homicide and Halo-Halo,Mia P. Manansala,,9780593201695,paperback,read,2022/07/31,2022/09/07,2022/09/07,1.0,,,,,,,,3.0,,,,"audio, library",No,2
It Happened One Summer,Tessa Bailey,Charlotte North (Narrator),9780063045675,audio,read,2022/05/17,2025/12/03,2025/12/01-2025/12/03,1.0,,,,,,,,3.75,,,,,No,2
Queen of Shadows,Sarah J. Maas,,9781619636040,hardcover,read,2024/01/07,2024/01/26,2024/01/10-2024/01/26,1.0,"adventurous, challenging, dark, emotional, hopeful",medium,A mix,It's complicated,Yes,Yes,Yes,4.0,,,,,Yes,2
The Ex Hex,Erin Sterling,,9780063027473,paperback,to-read,2024/01/08,,,0.0,,,,,,,,,,,,,No,2
I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,,9780349014869,paperback,to-read,2020/06/10,,,0.0,,,,,,,,,,,,,No,2
Daisy Darker,Alice Feeney,,9781250843937,hardcover,to-read,2023/01/01,,,0.0,,,,,,,,,,,,,No,2
The Color of Magic,Terry Pratchett,,9780060855925,paperback,to-read,2020/01/16,,,0.0,,,,,,,,,,,,,No,2
Ana María and the Fox,Liana De la Rosa,,9780593440889,paperback,to-read,2023/06/19,,,0.0,,,,,,,,,,,,,No,2
Throne of Glass,Sarah J. Maas,,9781619630345,paperback,read,2022/07/25,2023/08/30,2023/08/30,1.0,,,,,,,,4.0,,,,,No,2
The Kiss Quotient,Helen Hoang,,9780451490803,paperback,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
The Fortunes of Jaded Women,Carolyn Huynh,,9781982188733,hardcover,to-read,2022/08/16,,,0.0,,,,,,,,,,,,,No,2
Truly Devious,Maureen Johnson,Kate Rudd (Narrator),9781538501252,audio,to-read,2019/01/03,,,0.0,,,,,,,,,,,,,No,2
Killing Floor,Lee Child,,9780515141429,paperback,to-read,2020/01/16,,,0.0,,,,,,,,,,,,,No,2
The Teller of Small Fortunes,Julie Leong,,9780593815908,digital,read,2025/11/12,2025/11/22,2025/11/12-2025/11/22,1.0,,,,,,,,3.0,,,,,No,2
"Black Klansman: Race, Hate, and the Undercover Investigation of a Lifetime",Ron Stallworth,,9781250313720,paperback,to-read,2018/12/28,,,0.0,,,,,,,,,,,,,No,2
The Traitor Queen,Danielle L. Jensen,,9780593975213,paperback,read,2025/01/28,2025/01/29,2025/01/28-2025/01/29,1.0,,,,,,,,4.5,,,,,No,2
"A Tyranny of Petticoats: 15 Stories of Belles, Bank Robbers & Other Badass Girls",Jessica Spotswood,"Caroline Tung Richmond, Elizabeth Wein, Andrea Cremer, Marissa Meyer, Robin Talley, J. Anderson Coats, Y.S. Lee, Beth Revis, Marie Lu, Katherine Longshore, Lindsay Smith, Leslye Walton, Saundra Mitchell, Kekla Magoon",9780763678487,hardcover,to-read,2020/01/04,,,0.0,,,,,,,,,,,,,No,2
The Four Winds,Kristin Hannah,,9781250178619,paperback,to-read,2024/01/02,,,0.0,,,,,,,,,,,,,No,2
Before I Let Go,Kennedy Ryan,,9781538706817,digital,read,2024/06/27,2024/06/28,2024/06/27-2024/06/28,1.0,"emotional, hopeful, reflective",medium,Character,Yes,,,Yes,5.0,,,,,No,2
Harry Potter and the Order of the Phoenix,J.K. Rowling,Stephen Fry (Narrator),9781855496644,audio,read,2015/02/05,,,1.0,,,,,,,,,,,,,No,2
The Codebreaker's Secret,Sara Ackerman,,9780778386452,paperback,to-read,2022/08/25,,,0.0,,,,,,,,,,,,,No,2
The Women,Kristin Hannah,,9781250178657,digital,read,2025/03/30,2025/04/14,2025/03/30-2025/04/14,1.0,,,,,,,,3.75,,,,,No,2
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,9781398515697,paperback,read,2019/12/28,2023/02/28,2023/02/28,2.0,,,,,,,,5.0,,,,library,No,2
Twelve,Jennifer Lynn Barnes,,B075573YK6,digital,read,2024/10/15,2024/10/15,2024/10/15-2024/10/15,1.0,,,,,,,,3.0,,,,,No,2
Funny Story,Emily Henry,,9780593441282,hardcover,to-read,2024/01/19,,,0.0,,,,,,,,,,,,,No,2
The New ABS Diet for Women: The Six-Week Plan to Flatten Your Stomach and Keep You Lean for Life,David Zinczenko,,9781609613846,paperback,read,2015/02/12,2014/01/01,2014/01/01,1.0,,,,,,,,,,,,,No,2
Water for Elephants,Sara Gruen,,9781565125605,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
"Coffee, Shopping, Murder, Love",Carlos Allende,,9781636280356,paperback,to-read,2022/04/12,,,0.0,,,,,,,,,,,,,No,2
Pushout: The Criminalization of Black Girls in Schools,Monique W. Morris,,9781620973424,paperback,read,2022/01/16,2022/03/30,2022/03/30,1.0,,,,,,,,5.0,,,,,No,2
Crossed,Ally Condie,,9780525423652,hardcover,read,2012/03/04,2012/04/10,2012/04/10,1.0,,,,,,,,3.0,not nearly as good as the first book.,,,,No,2
Reckless Girls,Rachel Hawkins,,9781250274250,hardcover,to-read,2023/06/25,,,0.0,,,,,,,,,,,,,No,2
These Violent Delights,Chloe Gong,,9781534457713,digital,to-read,2024/01/05,,,0.0,,,,,,,,,,,,,No,2
Culturally Responsive Teaching and the Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,Zaretta L. Hammond,,9781483308012,paperback,read,2021/02/01,2021/06/11,2021/06/11,1.0,,,,,,,,,,,,,No,2
The Inheritance Games,Jennifer Lynn Barnes,Christie Moreau (Narrator),9781549160462,audio,read,2022/05/08,2023/07/20,2023/07/20,1.0,,,,,,,,3.0,,,,,No,2
Juniper & Thorn,Ava Reid,,9780062973160,hardcover,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
A Tale of Two Cities,Charles Dickens,Richard Maxwell (Contributor),9780141439600,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
Book Lovers,Emily Henry,,9780593334843,digital,read,2022/09/07,2022/09/23,2022/09/23,1.0,,,,,,,,5.0,,,,,No,2
Beartown,Fredrik Backman,,,paperback,to-read,2024/01/07,,,0.0,,,,,,,,,,,,,No,2
A Witch's Guide to Magical Innkeeping,Sangu Mandanna,,9780593439388,digital,to-read,2023/09/29,,,0.0,,,,,,,,,,,,,No,2
Her Hidden Fire,Cliodhna O'Sullivan,,9798217040506,paperback,to-read,2025/10/01,,,0.0,,,,,,,,,,,,,No,2
So This Is War,Meghan Quinn,,,digital,read,2025/01/04,2025/01/11,2025/01/04-2025/01/11,1.0,,,,,,,,3.0,,,,,No,2
The Witch Haven,Sasha Peyton Smith,,9781534454385,hardcover,read,2022/11/04,2022/11/06,2022/11/06,1.0,,,,,,,,4.0,,,,,No,2
When in Rome,Sarah Adams,,9780593500781,paperback,to-read,2023/04/18,,,0.0,,,,,,,,,,,,,No,2
This is Where I Leave You,Jonathan Tropper,,9780525951278,hardcover,to-read,2015/02/05,,,0.0,,,,,,,,4.0,,,,,No,2
Allegedly,Tiffany D. Jackson,,9780062422644,hardcover,to-read,2025/02/07,,,0.0,,,,,,,,,,,,,No,2
"Where'd You Go, Bernadette",Maria Semple,,9780316204279,hardcover,to-read,2018/12/27,,,0.0,,,,,,,,,,,,,No,2
Running Randomized Evaluations: A Practical Guide,"Rachel Glennerster, Kudzai Takavarasha",,9780691159270,paperback,currently-reading,2026/03/10,,,0.0,,,,,,,,,,,,,No,2
Crazy Rich Asians,Kevin Kwan,,9780525563761,paperback,read,2018/12/28,2019/03/13,2019/03/13,1.0,,,,,,,,5.0,,,,"e-books, 2019-popsugar-challenge",No,2
Turtles All the Way Down,John Green,,9780525555360,hardcover,to-read,2024/01/17,,,0.0,,,,,,,,,,,,,No,2
The Way I Hate Him,Meghan Quinn,,B0C6B8T9BM,digital,read,2025/03/10,2025/03/11,2025/03/09-2025/03/11,1.0,,,,,,,,3.0,,,,,No,2
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,9781400052172,hardcover,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
Unravel Me,Becka Mack,,9781778133060,digital,read,2025/03/03,2025/03/04,2025/03/03-2025/03/04,1.0,,,,,,,,4.25,,,,,No,2
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,,9781491946008,paperback,did-not-finish,2025/05/28,,,0.0,,,,,,,,,,,,,Yes,2
Such a Fun Age,Kiley Reid,,9780525541905,hardcover,read,2020/06/08,2022/06/18,2022/06/18,1.0,,,,,,,,4.0,,,,,No,2
Breathe: A Ghost Story,"Geoff Taylor, Cliff McNish",,,,read,2015/10/20,2015/11/15,2015/11/15,1.0,,,,,,,,,,,,,No,2
Twilight,Stephenie Meyer,,9780316015844,paperback,read,2018/12/28,,,1.0,,,,,,,,3.0,,,,,No,2
The Moonlight Healers,Elizabeth Becker,,9781525830426,hardcover,read,2025/05/27,2025/05/29,2025/05/27-2025/05/29,1.0,,,,,,,,3.75,,,,,No,2
Hide,Kiersten White,,9780593359235,hardcover,to-read,2022/06/22,,,0.0,,,,,,,,,,,,,No,2
The Girl with the Louding Voice,Abi Daré,,9781524746094,paperback,to-read,2024/01/26,,,0.0,,,,,,,,,,,,,No,2
China Rich Girlfriend,Kevin Kwan,,9780804172066,paperback,read,2019/03/13,2019/04/22,2019/04/22,1.0,,,,,,,,3.0,,,,"e-books, 2019-popsugar-challenge",No,2
The Last Thing He Told Me,Laura Dave,,9781501171345,hardcover,to-read,2021/12/17,,,0.0,,,,,,,,,,,,,No,2
King of Ashes,S.A. Cosby,,9781250832061,hardcover,read,2026/02/04,2026/03/06,2026/02/03-2026/03/06,1.0,,,,,,,,3.0,,,,,No,2
Butcher & Blackbird,Brynne Weaver,,9781638931737,paperback,read,2024/01/07,2024/05/31,2024/05/30-2024/05/31,1.0,"adventurous, emotional, funny, mysterious, tense",medium,,,,,,5.0,,,,,No,2
Mr. Wrong Number,Lynn Painter,"Andrew Eiden (Narrator), Callie Dalton (Narrator)",9780593552155,audio,read,2023/06/13,2023/06/13,2023/06/13,1.0,,,,,,,,5.0,,,,,No,2
Blood Debts,Terry J. Benton-Walker,,9781250825926,hardcover,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
Children of Blood and Bone,Tomi Adeyemi,,9781250170972,hardcover,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
Ten Rules for Faking It,Sophie Sullivan,,9781250624161,paperback,to-read,2023/02/24,,,0.0,,,,,,,,,,,,,No,2
The House In The Pines,Ana Reyes,,9780583473719,paperback,to-read,2024/01/23,,,0.0,,,,,,,,,,,,,No,2
The Defining Decade: Why Your Twenties Matter - and How to Make the Most of Them Now,Meg Jay,,9780446561761,hardcover,read,2012/05/04,2012/05/25,2012/05/25,1.0,,,,,,,,5.0,,,,,No,2
One of Us Is Next,Karen M. McManus,,9780525707981,digital,read,2019/06/02,2020/06/09,2020/06/09,1.0,,,,,,,,5.0,,,,"library, e-books, 2020-popsugar-challenge",No,2
Undercover Bromance,Lyssa Kay Adams,,9781984806116,paperback,read,2023/06/13,2023/06/15,2023/06/15,1.0,,,,,,,,4.0,,,,,No,2
An Absolutely Remarkable Thing,Hank Green,,9781524743468,paperback,read,2025/03/08,2025/03/13,2025/03/07-2025/03/13,1.0,,,,,,,,4.5,,,,,No,2
The Handmaid's Tale,Margaret Atwood,,9781984899668,paperback,to-read,2018/12/28,,,0.0,,,,,,,,,,,,,No,2
The Hate U Give,Angie Thomas,Bahni Turpin (Narrator),9781528861816,audio,read,2018/12/28,2020/02/20,2020/02/20,1.0,,,,,,,,5.0,,,,"audio, 2020-popsugar-challenge",No,2
Untamed,Glennon Doyle,,9781984801258,hardcover,to-read,2020/06/07,,,0.0,,,,,,,,,,,,,No,2
Husband Material,Alexis Hall,,9781728250946,digital,read,2023/03/16,2023/03/20,2023/03/20,1.0,,,,,,,,3.0,,,,,No,2
Meet Me in Another Life,Catriona Silvey,,9780063020207,hardcover,to-read,2025/04/26,,,0.0,,,,,,,,,,,,,No,2
The Tattooist of Auschwitz,Heather Morris,,9780062870674,hardcover,to-read,2022/09/07,,,0.0,,,,,,,,,,,,,No,2
So You Want to Talk About Race,Ijeoma Oluo,,9781580056779,hardcover,to-read,2020/06/10,,,0.0,,,,,,,,,,,,,No,2
"Everything, Everything",Nicola Yoon,,9780553496642,hardcover,to-read,2019/01/01,,,0.0,,,,,,,,,,,,,No,2
The Do-Over,Lynn Painter,,9781534478862,hardcover,read,2023/03/20,2023/06/08,2023/06/08,1.0,,,,,,,,3.0,,,,,No,2
A Spindle Splintered,Alix E. Harrow,,9781250765352,hardcover,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
Red Rising,Pierce Brown,,9780345539786,hardcover,currently-reading,2026/03/20,,,0.0,,,,,,,,,,,,,Yes,2
My Trouble is My English: Asian Students and the American Dream,"Donald H. Graves, Danling Fu, Danling Fu",,9780867093551,paperback,read,2015/09/27,2015/10/07,2015/10/07,1.0,,,,,,,,,,,,,No,2
180 Tips and Tricks for New Teachers,Melissa Kelly,,,paperback,read,2012/08/05,2012/09/23,2012/09/23,1.0,,,,,,,,3.0,,,,,No,2
Demon Copperhead,Barbara Kingsolver,,9780063251991,digital,read,2024/01/11,2024/06/18,2024/01/11-2024/06/18,1.0,"dark, emotional",slow,,,,,,3.5,"<div>This book was just not my cup of tea. It was well written, but one depressing cliche after another.</div>",,,,Yes,2
Highly Suspicious and Unfairly Cute,Talia Hibbert,,9780593482346,digital,to-read,2023/07/23,,,0.0,,,,,,,,,,,,,No,2
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,,9780385521314,hardcover,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
If I Was Your Girl,Meredith Russo,,9781250078407,hardcover,read,2019/12/28,2021/01/30,2021/01/30,1.0,,,,,,,,5.0,,,,,No,2
Meet Me in the Margins,Melissa Ferguson,,9780785231073,paperback,to-read,2022/02/23,,,0.0,,,,,,,,,,,,,No,2
Foundryside,Robert Jackson Bennett,,9780525573845,paperback,read,2024/02/26,2024/03/29,2024/02/26-2024/03/29,1.0,"adventurous, challenging, dark, funny, tense",medium,A mix,,,,,4.5,,,,,Yes,2
I'm Thinking of Ending Things,Iain Reid,,9781911231233,paperback,to-read,2022/09/01,,,0.0,,,,,,,,,,,,,No,2
The Cruel Prince,Holly Black,,,paperback,to-read,2023/07/15,,,0.0,,,,,,,,,,,,,No,2
Bad for Business,Kat Singleton,,,digital,to-read,2025/08/19,,,0.0,,,,,,,,,,,,,No,2
Fall With Me,Becka Mack,,9781761425899,digital,read,2025/03/04,2025/03/05,2025/03/04-2025/03/05,1.0,,,,,,,,4.0,,,,,No,2
House of Marionne,J. Elle,,9780593527702,hardcover,to-read,2023/09/03,,,0.0,,,,,,,,,,,,,No,2
Fun Home: A Family Tragicomic,Alison Bechdel,,9780618871711,paperback,read,2022/09/07,,,1.0,,,,,,,,5.0,,,,,No,2
The Girlfriends' Guide to Pregnancy,Vicki Iovine,,9781416524724,paperback,read,2016/02/14,2016/06/08,2016/06/08,1.0,,,,,,,,,,,,,No,2
Babel,R.F. Kuang,,9780063021426,hardcover,read,2022/08/23,2025/01/19,2024/11/15-2025/01/19,1.0,,slow,,,,,,4.5,,,,,No,2
A Heart That Works,Rob Delaney,,9781954118317,hardcover,to-read,2023/01/15,,,0.0,,,,,,,,,,,,,No,2
Divergent,Veronica Roth,,9780062024039,paperback,read,2014/01/07,2014/01/02,2014/01/02,1.0,,,,,,,,5.0,,,,2014,No,2
The Guernsey Literary and Potato Peel Pie Society ,"Annie Barrows, Mary Ann Shaffer",,9781984801814,paperback,read,2018/08/19,2018/08/23,2018/08/23,1.0,,,,,,,,5.0,,,,2018,No,2
One Last Stop,Casey McQuiston,,9781250244499,paperback,to-read,2024/01/23,,,0.0,,,,,,,,,,,,,No,2
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,,9780062942937,hardcover,to-read,2023/01/08,,,0.0,,,,,,,,,,,,,No,2
A Deadly Education,Naomi Novik,,9780593128480,hardcover,read,2022/08/23,2023/10/13,2023/10/13,1.0,,,,,,,,4.0,,,,,No,2
Harry Potter and the Goblet of Fire,J.K. Rowling,"J.K. Rowling (Illustrator), Mary GrandPré (Illustrator)",,paperback,read,2015/02/05,2016/06/08,2016/06/08,1.0,,,,,,,,,,,,"2015, e-books",No,2
All In,Jennifer Lynn Barnes,,9780316540841,paperback,read,2024/09/29,2024/09/30,2024/09/29-2024/09/30,1.0,,,,,,,,5.0,,,,,No,2
Harry Potter and the Half-Blood Prince,J.K. Rowling,,9780747581086,hardcover,read,2015/02/05,,,1.0,,,,,,,,,,,,,No,2
Normal People,Sally Rooney,,1984822187,paperback,read,2021/01/18,2021/01/18,2021/01/18,1.0,,,,,,,,4.0,,,,,No,2
The Book of Life,Deborah Harkness,Jennifer Ikeda (Narrator),9781611762662,audio,read,2019/01/31,2023/04/27,2023/04/27,1.0,,,,,,,,5.0,,,,,No,2
The Dinner,Herman Koch,Sam Garrett (Translator),9780770437855,hardcover,read,2015/04/01,2015/06/14,2015/06/14,1.0,,,,,,,,,,,,2015,No,2
Caucasia,Danzy Senna,,9781573227162,paperback,to-read,2022/02/15,,,0.0,,,,,,,,,,,,,No,2
The Hitchhiker's Guide to the Galaxy,Douglas Adams,,9781615596041,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
Onyx Storm,Rebecca Yarros,,9781649377159,hardcover,read,2025/01/21,2025/01/24,2025/01/21-2025/01/24,1.0,,,,,,,,4.75,,,,,No,2
The Lightning Thief,Rick Riordan,,9780141924403,digital,read,2013/08/12,,,1.0,,,,,,,,4.0,,,,,No,2
The Invisible Life of Addie LaRue (Large Print),V.E. Schwab,,9781432883515,paperback,read,2022/08/11,2023/02/24,2023/02/24,1.0,,,,,,,,4.0,,,,,No,2
A Court of Frost and Starlight,Sarah J. Maas,,9781635575613,hardcover,read,2023/04/17,2023/04/17,2023/04/17,1.0,,,,,,,,4.0,,,,,No,2
Heartstopper Volume 1,Alice Oseman,,9781527225336,paperback,to-read,2022/04/27,,,0.0,,,,,,,,,,,,,No,2
Maame,Jessica George,,9781250282521,hardcover,to-read,2023/02/25,,,0.0,,,,,,,,,,,,,No,2
Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,,9781427280633,audio,read,2024/12/10,2025/02/03,2024/12/10-2025/02/03,1.0,,,,,,,,3.5,,,,,No,2
The House at the Edge of Magic,Amy Sparkes,,9781406395310,paperback,to-read,2023/07/05,,,0.0,,,,,,,,,,,,,No,2
Hazelthorn,CG Drews,,9781250376299,hardcover,read,2026/01/15,2026/01/16,2026/01/14-2026/01/16,1.0,,,,,,,,3.25,,,,,No,2
So Let Them Burn,Kamilah Cole,,9780316534635,hardcover,to-read,2025/03/20,,,0.0,,,,,,,,,,,,,No,2
Matched,Ally Condie,,9780142419779,paperback,read,2015/02/12,2013/01/01,2013/01/01,1.0,,,,,,,,,,,,,No,2
Faking Ms. Right,Claire Kingsley,"Emma Wilder (Narrator), Jason Clarke (Narrator)",,audio,to-read,2023/03/20,,,0.0,,,,,,,,,,,,,No,2
Local Woman Missing,Mary Kubica,,9781432886974,hardcover,read,2023/01/01,2023/09/19,2023/09/19,1.0,,,,,,,,5.0,,,,,No,2
Assistant to the Villain,Hannah Nicole Maehrer,,9781649375803,paperback,read,2023/08/14,2025/01/02,2024/12/29-2025/01/02,1.0,,,,,,,,5.0,,,,,No,2
Romancing Mister Bridgerton,Julia Quinn,,9780062424105,digital,read,2024/05/14,2024/05/15,2024/05/14-2024/05/15,1.0,"emotional, funny, mysterious",fast,A mix,,Yes,No,It's complicated,3.5,,,,,Yes,2
Cruel Winter with You,Ali Hazelwood,,B0D9KNVB11,digital,read,2025/01/20,2025/01/19,2025/01/19-2025/01/19,1.0,,fast,,,,,,4.0,,,,,No,2
Siddhartha,Hermann Hesse,,9781511828185,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
The Lies of Locke Lamora,Scott Lynch,Michael Page (Narrator),,digital,to-read,2022/08/27,,,0.0,,,,,,,,,,,,,No,2
City of Gods and Monsters,Kayla Edwards,,9781777880729,paperback,to-read,2023/03/15,,,0.0,,,,,,,,,,,,,No,2
Killer Instinct,Jennifer Lynn Barnes,,9781423168324,hardcover,read,2024/09/27,2024/09/28,2024/09/26-2024/09/28,1.0,"adventurous, dark, emotional, mysterious, tense",medium,,,,,,5.0,,,,,No,2
Daughter of the Moon Goddess,Sue Lynn Tan,,9780063031302,hardcover,to-read,2024/01/10,,,0.0,,,,,,,,,,,,,No,2
Love on the Brain,Ali Hazelwood,,,digital,to-read,2023/01/13,,,0.0,,,,,,,,,,,,,No,2
Pucking Around,Emily Rath,,9798987793367,paperback,read,2023/04/18,2023/04/21,2023/04/21,1.0,,,,,,,,5.0,,,,,No,2
Battle Royale,Koushun Takami,Yuji Oniki,9781569317785,paperback,to-read,2020/01/16,,,0.0,,,,,,,,,,,,,No,2
Dash & Lily's Book of Dares,"Rachel Cohn, David Levithan",,9780375866593,hardcover,to-read,2020/11/13,,,0.0,,,,,,,,,,,,,No,2
Uncomfortable Conversations with a Black Man,Emmanuel Acho,,9781250800466,hardcover,to-read,2021/01/30,,,0.0,,,,,,,,,,,,,No,2
The Stardust Thief,Chelsea Abdullah,,9780316368766,hardcover,to-read,2023/08/15,,,0.0,,,,,,,,,,,,,No,2
The Outsider,Stephen King,,9781501180989,hardcover,to-read,2019/08/15,,,0.0,,,,,,,,,,,,,No,2
A Good Marriage,Kimberly McCreight,,9780062367686,hardcover,to-read,2022/08/11,,,0.0,,,,,,,,,,,,,No,2
"Check, Please! Book 1: #Hockey",Ngozi Ukazu,,9781250177957,hardcover,to-read,2026/03/07,,,0.0,,,,,,,,,,,,,No,2
Homegoing,Yaa Gyasi,,9781101971062,paperback,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
Great Expectations,Charles Dickens,"Charlotte Mitchell (Contributor), David Trotter (Contributor)",9780141439563,paperback,read,2018/12/28,,,1.0,,,,,,,,,,,,,No,2
Nine Perfect Strangers,Liane Moriarty,,9781743534922,hardcover,read,2019/01/29,2020/08/21,2020/08/21,1.0,,,,,,,,3.0,,,,"library, e-books, 2020-popsugar-challenge",No,2
The LEGO Story: How a Little Toy Sparked the World's Imagination,Jens Andersen,Caroline Waight (Translator),9780063258020,hardcover,to-read,2023/05/19,,,0.0,,,,,,,,,,,,alex-ideas,No,2
Wicked,Gregory Maguire,John McDonough (Narrator),9781440780493,audio,read,2024/11/19,2024/12/06,2024/11/19-2024/12/06,1.0,,,,,,,,2.75,,,,,No,2
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,,9780812994520,hardcover,read,2025/02/19,2025/02/22,2025/02/18-2025/02/22,1.0,,,,,,,,5.0,,,,,No,2
The Bone Houses,Emily Lloyd-Jones,,9780316418416,hardcover,to-read,2022/08/30,,,0.0,,,,,,,,,,,,,No,2
The Gate of the Feral Gods,Matt Dinniman,Jeff Hays (Narrator),B09GD882BQ,audio,read,2025/06/28,2025/07/10,2025/06/28-2025/07/10,1.0,,,,,,,,3.75,,,,,No,2
The Naturals,Jennifer Lynn Barnes,,9781423168232,hardcover,read,2024/09/25,2024/09/24,2024/09/22-2024/09/24,1.0,,,,,,,,,,,,,No,2
The Brothers Hawthorne,Jennifer Lynn Barnes,,9780316570534,paperback,read,2023/07/24,2023/09/24,2023/09/24,1.0,,,,,,,,4.0,,,,,No,2
The Beautiful Ones,Silvia Moreno-Garcia,,9781250785565,paperback,to-read,2023/04/23,,,0.0,,,,,,,,,,,,,No,2
